RowKey,Artikel,Link,Amazon,A+,Kontrolle,K von,Fehler1,Begründung,Infobox,Priorität,BE bis,BE am,BE von,K ab,K am,K2 von,Kommentar,OPEN C. bis,C am,Case Nr.,C von,Check C,Reopen C2 am,Reopen C2 von,Check Reopen C,Sonstige Anmerkungen
Amazon Cases (NA):4644938461613956,NA-FC1,https://www.amazon.se/dp/B072M2HKSN,se,Green,,DM,Ja,Box,Camera Body,3,,,DM,,,DM,Box,,,,,,,,,2 year warranty + included components//14.10.24//HI
Amazon Cases (NA):2393138647928708,NA-FC1,https://www.amazon.com.tr/dp/B072M2HKSN,tr,Green,,EK,Ja,Box,"Item Size, Wattage, Battery, Memory Type, Hard drive interface, Hard drive size, Power connector type, Lithium Battery Ion Cells",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):6896738275299204,NA-FC1,https://www.amazon.pl/gp/product/B072M2HKSN,pl,Green,,JHU,Ja,"Box, Kom.","Material, Noise Level, Battery, Memory Type, Hard drive size",4,,,DM,,,DM,Box,,,,,,,,,data transfer rate // 04.09.24 // KKR
Amazon Cases (NA):1267238741086084,NA-FC1,https://www.newegg.com/noctua-na-fc1/p/1W8-001X-00014,newegg,Green,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5770838368456580,NA-FG1-4 Sx2,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3519038554771332,NA-FG1-4 Sx2,https://www.amazon.com.mx/dp/B0B1MLP7TX,com.mx,Blue,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8022638182141828,NA-FG1-4 Sx2,https://www.amazon.es/dp/B0B1MLP7TX,es,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):704288787664772,NA-FG1-4 Sx2,https://www.amazon.sg/dp/B0B1MLP7TX,sg,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5207888415035268,NA-FG1-4 Sx2,https://www.amazon.co.jp/dp/B0B1MLP7TX,jp,Blue,,DM,Ja,"T, BP",,5,,,HI,,,DM,"T, BP",,,,,,,,,
Amazon Cases (NA):2956088601350020,NA-FG1-4 Sx2,https://www.amazon.com.au/dp/B0B1MLP7TX,au,Blue,,SM,Ja,BP,,5,,,LK,,,EK,BP,,,,,,,,,
Amazon Cases (NA):7459688228720516,NA-FG1-4 Sx2,https://www.amazon.com.be/dp/B0B1MLP7TX,be,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,EK,Box,,,,,,,,,
Amazon Cases (NA):1830188694507396,NA-FG1-4 Sx2,https://www.amazon.ca/dp/B0B1MLP7TX,ca,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,EK,Box,,,,,,,,,
Amazon Cases (NA):6333788321877892,NA-FG1-4 Sx2,https://www.amazon.com/dp/B0B1MLP7TX,com,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,DM,Box,,,,,,,,,
Amazon Cases (NA):4081988508192644,NA-FG1-4 Sx2,https://www.amazon.co.uk/dp/B0B1MLP7TX,co.uk,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8585588135563140,NA-FG1-4 Sx2,https://www.amazon.de/dp/B0B1MLP7TX,de,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,EK,Box,,,,,,,,,
Amazon Cases (NA):422813810954116,NA-FG1-4 Sx2,https://www.amazon.fr/dp/B0B1MLP7TX,fr,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4926413438324612,NA-FG1-4 Sx2,https://www.amazon.it/dp/B0B1MLP7TX,it,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2674613624639364,NA-FG1-4 Sx2,https://www.amazon.nl/dp/B0B1MLP7TX,nl,Blue,,HI,Ja,Box,Cooling Method,4,,,,,,,,,,,,,,,,
Amazon Cases (NA):7178213252009860,NA-FG1-4 Sx2,https://www.amazon.se/dp/B0B1MLP7TX,se,Blue,,HI,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1548713717796740,NA-FG1-4 Sx2,https://www.amazon.com.tr/dp/B0B1MLP7TX,tr,Blue,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6052313345167236,NA-FG1-4 Sx2,https://www.amazon.pl/dp/B0B1MLP7TX,pl,Blue,,HI,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3800513531481988,NA-FG1-4 Sx2,https://www.newegg.com/p/2BJ-000W-00162?item=9SIAADYHWF8362,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8304113158852484,NA-FG1-5 Sx2,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):985763764375428,NA-FG1-5 Sx2,https://www.amazon.com.au/dp/B0B1Q99C1X,au,Blue,,DM,Ja,BP,,5,,,SM,,,,,,,,,,,,,
Amazon Cases (NA):5489363391745924,NA-FG1-5 Sx2,https://www.amazon.ca/dp/B0B1Q99C1X,ca,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3237563578060676,NA-FG1-5 Sx2,https://www.amazon.it/dp/B0B1Q99C1X,it,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7741163205431172,NA-FG1-5 Sx2,https://www.amazon.com.be/dp/B0B1Q99C1X,be,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2111663671218052,NA-FG1-5 Sx2,https://www.amazon.com/dp/B0B1Q99C1X,com,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6615263298588548,NA-FG1-5 Sx2,https://www.amazon.com.mx/dp/B0B1Q99C1X,com.mx,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4363463484903300,NA-FG1-5 Sx2,https://www.amazon.co.uk/dp/B0B1Q99C1X,co.uk,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8867063112273796,NA-FG1-5 Sx2,https://www.amazon.de/dp/B0B1Q99C1X,de,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):70970090065796,NA-FG1-5 Sx2,https://www.amazon.es/dp/B0B1Q99C1X,es,Blue,,HI,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4574569717436292,NA-FG1-5 Sx2,https://www.amazon.fr/dp/B0B1Q99C1X,fr,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2322769903751044,NA-FG1-5 Sx2,https://www.amazon.co.jp/dp/B0B1Q99C1X,jp,Blue,,DM,Ja,"T, BP",,5,,,,,,,,,,,,,,,,
Amazon Cases (NA):6826369531121540,NA-FG1-5 Sx2,https://www.amazon.nl/dp/B0B1Q99C1X,nl,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1196869996908420,NA-FG1-5 Sx2,https://www.amazon.sg/dp/B0B1Q99C1X,sg,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5700469624278916,NA-FG1-5 Sx2,https://www.amazon.se/dp/B0B1Q99C1X,se,Blue,,EK,Ja,Box,Power connector type,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):3448669810593668,NA-FG1-5 Sx2,https://www.amazon.com.tr/dp/B0B1Q99C1X,tr,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7952269437964164,NA-FG1-5 Sx2,https://www.amazon.pl/dp/B0B1Q99C1X,pl,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):633920043487108,NA-FG1-5 Sx2,https://www.newegg.com/p/2BJ-000W-00163?item=9SIAADYHWG2586,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5137519670857604,NA-FG1-6 Sx2,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2885719857172356,NA-FG1-6 Sx2,https://www.amazon.com.mx/dp/B0B1QRWHW3,com.mx,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):7389319484542852,NA-FG1-6 Sx2,https://www.amazon.co.jp/dp/B0B1QRWHW3,jp,Blue,,JHU,Ja,"BP, Box",Compatible Devices,5,,,HI,,,LK,"BP, Box",,,,,,,,,
Amazon Cases (NA):1759819950329732,NA-FG1-6 Sx2,https://www.amazon.com.au/dp/B0B1QRWHW3,au,Blue,,SM,Ja,"BP, Box",Power connector type,5,,,SM,,,EK,"BP, Box",,,,,,,,,
Amazon Cases (NA):6263419577700228,NA-FG1-6 Sx2,https://www.amazon.com.be/dp/B0B1QRWHW3,be,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,EK,Box,,,,,,,,,
Amazon Cases (NA):4011619764014980,NA-FG1-6 Sx2,https://www.amazon.ca/dp/B0B1QRWHW3,ca,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):8515219391385476,NA-FG1-6 Sx2,https://www.amazon.com/dp/B0B1QRWHW3,com,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):352445066776452,NA-FG1-6 Sx2,https://www.amazon.co.uk/dp/B0B1QRWHW3,co.uk,Blue,,LK,Ja,Box,Cooling Method,3,,,LK,,,EK,Box,,,,,,,,,
Amazon Cases (NA):4856044694146948,NA-FG1-6 Sx2,https://www.amazon.de/dp/B0B1QRWHW3,de,Blue,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2604244880461700,NA-FG1-6 Sx2,https://www.amazon.es/dp/B0B1QRWHW3,es,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7107844507832196,NA-FG1-6 Sx2,https://www.amazon.fr/dp/B0B1QRWHW3,fr,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,manufacturer warranty//24.02.25//HI
Amazon Cases (NA):1478344973619076,NA-FG1-6 Sx2,https://www.amazon.it/dp/B0B1QRWHW3,it,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5981944600989572,NA-FG1-6 Sx2,https://www.amazon.nl/dp/B0B1QRWHW3,nl,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3730144787304324,NA-FG1-6 Sx2,https://www.amazon.sg/dp/B0B1QRWHW3,sg,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8233744414674820,NA-FG1-6 Sx2,https://www.amazon.se/dp/B0B1QRWHW3,se,Blue,,EK,Ja,Box,"Cooling Method, Power connector type",2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):915395020197764,NA-FG1-6 Sx2,https://www.amazon.com.tr/dp/B0B1QRWHW3,tr,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5418994647568260,NA-FG1-6 Sx2,https://www.amazon.pl/dp/B0B1QRWHW3,pl,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3167194833883012,NA-FG1-6 Sx2,https://www.newegg.com/p/2BJ-000W-00164?item=9SIAADYHWG3714,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7670794461253508,NA-FG1-7 Sx2,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2041294927040388,NA-FG1-7 Sx2,https://www.amazon.com.mx/dp/B0B1VLXLX8,com.mx,Blue,,HI,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6544894554410884,NA-FG1-7 Sx2,https://www.amazon.com.au/dp/B0B1VLXLX8,au,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4293094740725636,NA-FG1-7 Sx2,https://www.amazon.com.be/dp/B0B1VLXLX8,be,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8796694368096132,NA-FG1-7 Sx2,https://www.amazon.ca/dp/B0B1VLXLX8,ca,Blue,,EK,Ja,Box,"Cooling Method, Power connector type",2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):211707578421124,NA-FG1-7 Sx2,https://www.amazon.com/dp/B0B1VLXLX8,com,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4715307205791620,NA-FG1-7 Sx2,https://www.amazon.co.uk/dp/B0B1VLXLX8,co.uk,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,Batch ID 03.06.2025: 3872225020242
Amazon Cases (NA):2463507392106372,NA-FG1-7 Sx2,https://www.amazon.de/dp/B0B1VLXLX8,de,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6967107019476868,NA-FG1-7 Sx2,https://www.amazon.es/dp/B0B1VLXLX8,es,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1337607485263748,NA-FG1-7 Sx2,https://www.amazon.fr/dp/B0B1VLXLX8,fr,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5841207112634244,NA-FG1-7 Sx2,https://www.amazon.it/dp/B0B1VLXLX8,it,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3589407298948996,NA-FG1-7 Sx2,https://www.amazon.co.jp/dp/B0B1VLXLX8,jp,Blue,,JHU,Ja,BP,,5,,,HI,,,LK,BP,,,,,,,,,
Amazon Cases (NA):8093006926319492,NA-FG1-7 Sx2,https://www.amazon.nl/dp/B0B1VLXLX8,nl,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):774657531842436,NA-FG1-7 Sx2,https://www.amazon.sg/dp/B0B1VLXLX8,sg,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5278257159212932,NA-FG1-7 Sx2,https://www.amazon.se/dp/B0B1VLXLX8,se,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3026457345527684,NA-FG1-7 Sx2,https://www.amazon.com.tr/dp/B0B1VLXLX8,tr,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7530056972898180,NA-FG1-7 Sx2,https://www.amazon.pl/dp/B0B1VLXLX8,pl,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1900557438685060,NA-FG1-7 Sx2,https://www.newegg.com/p/2BJ-000W-00165?item=9SIAADYHWG4086,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6404157066055556,NA-FG1-8 Sx2,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4152357252370308,NA-FG1-8 Sx2,https://www.amazon.co.jp/dp/B0B212TN4C,jp,Blue,,DM,Ja,"BP, KI F, Box",Compatible Devices,5,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):8655956879740804,NA-FG1-8 Sx2,https://www.amazon.com.mx/dp/B0B212TN4C,com.mx,Blue,,LK,Ja,KI F,,2,,,HI,,,DM,KI F,,,,,,,,,
Amazon Cases (NA):493182555131780,NA-FG1-8 Sx2,https://www.amazon.nl/dp/B0B212TN4C,nl,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4996782182502276,NA-FG1-8 Sx2,https://www.amazon.sg/dp/B0B212TN4C,sg,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2744982368817028,NA-FG1-8 Sx2,https://www.amazon.com.au/dp/B0B212TN4C,au,Blue,,SM,Ja,"BP, KI F",,5,,,DM,,,DM,"BP, F",,,,,,,,,
Amazon Cases (NA):7248581996187524,NA-FG1-8 Sx2,https://www.amazon.com.be/dp/B0B212TN4C,be,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1619082461974404,NA-FG1-8 Sx2,https://www.amazon.ca/dp/B0B212TN4C,ca,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6122682089344900,NA-FG1-8 Sx2,https://www.amazon.com/dp/B0B212TN4C,com,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3870882275659652,NA-FG1-8 Sx2,https://www.amazon.co.uk/dp/B0B212TN4C,co.uk,Blue,,EK,Ja,"F, Box",Cooling Method,4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):8374481903030148,NA-FG1-8 Sx2,https://www.amazon.de/dp/B0B212TN4C,de,Blue,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1056132508553092,NA-FG1-8 Sx2,https://www.amazon.es/dp/B0B212TN4C,es,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5559732135923588,NA-FG1-8 Sx2,https://www.amazon.fr/dp/B0B212TN4C,fr,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3307932322238340,NA-FG1-8 Sx2,https://www.amazon.it/dp/B0B212TN4C,it,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7811531949608836,NA-FG1-8 Sx2,https://www.amazon.se/dp/B0B212TN4C,se,Blue,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2182032415395716,NA-FG1-8 Sx2,https://www.amazon.com.tr/dp/B0B212TN4C,tr,Blue,,HI,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6685632042766212,NA-FG1-8 Sx2,https://www.amazon.pl/dp/B0B212TN4C,pl,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4433832229080964,NA-FG1-8 Sx2,https://www.newegg.com/p/2BJ-000W-00166?item=9SIAADYHWG4620,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8937431856451460,NA-FG1-9 Sx2,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):35785717976964,NA-FG1-9 Sx2,https://www.amazon.com.mx/dp/B0B2135Y9W,com.mx,Blue,,EK,Ja,"KI F, Box",Power connector type,2,,,LK,,,EK,"KI F, Box",,,,,,,,,
Amazon Cases (NA):4539385345347460,NA-FG1-9 Sx2,https://www.amazon.it/dp/B0B2135Y9W,it,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):2287585531662212,NA-FG1-9 Sx2,https://www.amazon.co.jp/dp/B0B2135Y9W,jp,Blue,,LK,Ja,"BP, KI F, Box",Compatible Devices,5,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):6791185159032708,NA-FG1-9 Sx2,https://www.amazon.com.au/dp/B0B2135Y9W,au,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1161685624819588,NA-FG1-9 Sx2,https://www.amazon.com.be/dp/B0B2135Y9W,be,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):5665285252190084,NA-FG1-9 Sx2,https://www.amazon.ca/dp/B0B2135Y9W,ca,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):3413485438504836,NA-FG1-9 Sx2,https://www.amazon.com/dp/B0B2135Y9W,com,Blue,,LK,Ja,"F, Box",Cooling Method,3,,,LK,,,LK,F,,,,,,,,,
Amazon Cases (NA):7917085065875332,NA-FG1-9 Sx2,https://www.amazon.co.uk/dp/B0B2135Y9W,co.uk,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):598735671398276,NA-FG1-9 Sx2,https://www.amazon.de/dp/B0B2135Y9W,de,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5102335298768772,NA-FG1-9 Sx2,https://www.amazon.es/dp/B0B2135Y9W,es,Blue,,DM,Ja,KI F,,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):2850535485083524,NA-FG1-9 Sx2,https://www.amazon.fr/dp/B0B2135Y9W,fr,Blue,,DM,Ja,KI F,,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):7354135112454020,NA-FG1-9 Sx2,https://www.amazon.nl/dp/B0B2135Y9W,nl,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1724635578240900,NA-FG1-9 Sx2,https://www.amazon.sg/dp/B0B2135Y9W,sg,Blue,,DM,Ja,Box,"Material, Compatible Devices, Power connector type",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):6228235205611396,NA-FG1-9 Sx2,https://www.amazon.se/dp/B0B2135Y9W,se,Blue,,JHU,Ja,Box,"Cooling Method, Power connector type",4,,,LK,,,EK,Box,,,,,,,,,
Amazon Cases (NA):3976435391926148,NA-FG1-9 Sx2,https://www.amazon.com.tr/dp/B0B2135Y9W,tr,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8480035019296644,NA-FG1-9 Sx2,https://www.amazon.pl/dp/B0B2135Y9W,pl,Blue,,JHU,Ja,Box,"Cooling Method, Power connector type",4,,,LK,,,EK,Box,,,,,,,,,
Amazon Cases (NA):317260694687620,NA-FG1-9 Sx2,https://www.newegg.com/p/2BJ-000W-00167?item=9SIAADYHWG5764,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4820860322058116,NA-FG1-12 Sx2,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2569060508372868,NA-FG1-12 Sx2,https://www.amazon.com.mx/dp/B0B214M354,com.mx,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7072660135743364,NA-FG1-12 Sx2,https://www.amazon.co.jp/dp/B0B214M354,jp,Blue,,DM,Ja,"BP, Box",Compatible Devices,5,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):1443160601530244,NA-FG1-12 Sx2,https://www.amazon.com.au/dp/B0B214M354,au,Blue,,EK,Ja,"BP, Box","Material, Cooling Method, Compatible Devices",5,,,SM,,,,,,,,,,,,,
Amazon Cases (NA):5946760228900740,NA-FG1-12 Sx2,https://www.amazon.com.be/dp/B0B214M354,be,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3694960415215492,NA-FG1-12 Sx2,https://www.amazon.ca/dp/B0B214M354,ca,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8198560042585988,NA-FG1-12 Sx2,https://www.amazon.com/dp/B0B214M354,com,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):880210648108932,NA-FG1-12 Sx2,https://www.amazon.co.uk/dp/B0B214M354,co.uk,Blue,,HI,Ja,Box,Cooling Method,5,,,DM,,,DM,Box,,,,,,,,,
Amazon Cases (NA):5383810275479428,NA-FG1-12 Sx2,https://www.amazon.de/dp/B0B214M354,de,Blue,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3132010461794180,NA-FG1-12 Sx2,https://www.amazon.es/dp/B0B214M354,es,Blue,,EK,Ja,Box,Cooling Method,4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):7635610089164676,NA-FG1-12 Sx2,https://www.amazon.fr/dp/B0B214M354,fr,Blue,,EK,Ja,Box,Cooling Method,4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):2006110554951556,NA-FG1-12 Sx2,https://www.amazon.it/dp/B0B214M354,it,Blue,,HI,Ja,Box,Cooling Method,4,,,,,,,,,,,,,,,,
Amazon Cases (NA):6509710182322052,NA-FG1-12 Sx2,https://www.amazon.nl/dp/B0B214M354,nl,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4257910368636804,NA-FG1-12 Sx2,https://www.amazon.sg/dp/B0B214M354,sg,Blue,,EK,Ja,Box,Cooling Method,2,,,,,,,,,,,,,,,,
Amazon Cases (NA):8761509996007300,NA-FG1-12 Sx2,https://www.amazon.se/dp/B0B214M354,se,Blue,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):176523206332292,NA-FG1-12 Sx2,https://www.amazon.com.tr/dp/B0B214M354,tr,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
